graph, seq total time, omp total time, opencilk total time, pthreads total time,#Nodes,#Edges
celegansneural,0.000545,0.005227,0.001492,0.004067,297,2345
foldoc,0.017504,0.026786,0.030604,0.020203,13356,120238
language,0.303098,0.260229,0.284227,0.337823,399130,1216334
eu-2005,2.704265,2.07766,2.039631,2.282325,862664,19235140
wiki-topcats,3.412241,3.104151,3.136932,3.195926,1791489,28511807
sx-stackoverflow,6.782875,6.155923,6.067198,5.908645,2601977,36233450
wikipedia-20060925,6.732882,5.089576,5.422823,5.485021,2983494,37269096
wikipedia-20061104,7.792138,5.661489,5.688014,6.721935,3148440,39383235
wikipedia-20070206,8.484669,6.550064,6.759391,7.149579,3566907,45030389
wb-edu,33.829484,12.120833,12.998535,21.777093,9845725,57156537
indochina-2004,81.62771,40.301302,41.553129,56.117723,7414866,194109311
uk-2002,164.921895,63.35947,60.484474,101.724947,18520486,2981113762
